feature,importance
installment,0.1147421090074995
revol.util,0.11187410392582874
revol.bal,0.1117105972954112
days.with.cr.line,0.11133550763669656
log.annual.inc,0.1113084846913672
dti,0.1087910288109791
int.rate,0.10685717731953291
fico,0.07758957372886134
inq.last.6mths,0.05598664603416081
credit.policy,0.015208947293125986
delinq.2yrs,0.014709652580818963
purpose_debt_consolidation,0.014534055715832519
purpose_small_business,0.009974174241261666
pub.rec,0.009512334256597477
purpose_credit_card,0.008382117559524215
purpose_home_improvement,0.0077044676879655565
purpose_educational,0.005901666927624702
purpose_major_purchase,0.003877355286911579
